,Date,Ticker,Position,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily Return,1-week MA Daily Return,Rolling Cumulative Volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L,Yield
1,2018-01-17,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,227.37632751464844,0.0,227.76122792568685,225.25936826210418,226.22162628153325,0.0,2519000.0,1.9465143830902627,0.36085468375015173,16414761220500.0,68128.00340815919,181895.82910593002,53157.86128962686,1.9465143830902625
0,2018-01-18,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.44355010986328,0.0,56.63465817052529,55.92755943960075,56.1664436041575,0.0,5658600.0,-0.7501281585622518,0.22393382900871547,16415663658800.0,-15002.563171245036,-74263.47016119646,52173.419266861245,-0.7501281585622518
1,2018-01-18,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,225.36016845703125,0.0,228.19194465510523,224.45289424536725,227.39465197385437,0.0,2233500.0,1.9193137839458936,0.35469304592122075,16417081234100.0,67175.98243810628,249071.81154403632,52173.419266861245,1.9193137839458936
0,2018-01-19,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.67287826538086,0.0,57.02642579428834,56.338438261207465,56.596433586112795,0.0,7362300.0,-0.7517504930917032,0.23286241901248977,16417976274200.0,-15035.009861834063,-89298.48002303051,52430.85433265972,-0.7517504930917032
1,2018-01-19,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,227.44046020507812,0.0,227.73372563838157,225.07607407148035,226.01999946146935,0.0,2013500.0,1.9275961198426796,0.37024513331266073,16419426860900.0,67465.86419449378,316537.6757385301,52430.85433265972,1.9275961198426796
0,2018-01-22,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.921321868896484,0.0,56.921321868896484,55.85112176781822,56.26200284722103,0.0,6841900.0,-0.7505420120256755,0.2320970559168985,16420366900900.0,-15010.84024051351,-104309.32026354402,51314.005241479375,-0.7505420120256755
1,2018-01-22,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,226.634033203125,0.0,227.1747256737322,224.59954948232007,226.47824116839072,0.0,1660500.0,1.8949955851997966,0.35715010190349317,16421619546800.0,66324.84548199289,382862.521220523,51314.005241479375,1.8949955851997968
0,2018-01-23,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.59642791748047,0.0,56.92131048166403,56.357543786318516,56.873534384448156,0.0,8122100.0,-0.754217106581914,0.23233038424972802,16422532341000.0,-15084.34213163828,-119393.6623951823,50530.73925960372,-0.754217106581914
1,2018-01-23,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,225.7267303466797,0.0,226.59733936414364,224.63617225782542,226.27659603332287,0.0,1822700.0,1.8747166111783427,0.35277051645316215,16423763509000.0,65615.081391242,448477.602611765,50530.73925960372,1.8747166111783429
0,2018-01-24,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,58.97572708129883,0.0,61.30723899341798,58.039301540151236,58.28773948164619,0.0,11704900.0,-0.7468309600604875,0.23970328246307618,16424806330000.0,-14936.61920120975,-134330.28159639204,54170.83031212463,-0.7468309600604875
1,2018-01-24,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,226.99142456054688,0.0,227.77038467523116,225.67175803253355,227.26635741782735,0.0,3471000.0,1.8748817279774401,0.3506149382850346,16426252729300.0,65620.8604792104,514098.46309097536,54170.83031212463,1.8748817279774401
2,2018-01-24,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,81.20431518554688,0.0,82.0235991176554,80.92804434628411,81.89975657654367,0.0,1192900.0,0.1584813197329083,0.1891136395540129,16427073885400.0,3486.5890341239824,3486.5890341239824,54170.83031212463,0.1584813197329083
0,2018-01-25,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,60.40902328491211,0.0,61.72766113061245,59.54903891155732,60.37080094718906,0.0,15261900.0,-0.7443761788563502,0.2601236556614187,16427282334300.0,-14887.523577127004,-149217.80517351904,55824.334150544346,-0.7443761788563502
1,2018-01-25,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,231.27114868164062,0.0,233.50724856294204,226.450713712894,229.10836515522868,0.0,3507900.0,1.9238282110927751,0.34713222934513777,16428590248100.0,67333.98738824713,581432.4504792225,55824.334150544346,1.9238282110927751
2,2018-01-25,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,81.60443115234375,0.0,81.75685217356887,80.61366907574737,81.28052467144643,0.0,929800.0,0.15353956088291904,0.204990030674686,16429401828100.0,3377.870339424219,6864.459373548201,55824.334150544346,0.15353956088291904
0,2018-01-26,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,60.600128173828125,0.0,60.619239342844324,59.88347573859317,60.34213650481639,0.0,10242800.0,-0.7463262240836439,0.2953485218555173,16429606427500.0,-14926.524481672877,-164144.32965519192,55455.821947245066,-0.7463262240836439
1,2018-01-26,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,237.01719665527344,0.0,238.06191628496305,232.2150801606667,232.25173134724702,0.0,3730600.0,1.9213155207568222,0.3419817038597387,16430860444400.0,67246.04322648878,648678.4937057112,55455.821947245066,1.9213155207568222
2,2018-01-26,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,82.1188735961914,0.0,82.15698067556747,81.1757470032264,81.62349610066721,0.0,1332600.0,0.14255923647405314,0.1985468983876649,16431689349800.0,3136.303202429169,10000.76257597737,55455.821947245066,0.14255923647405314
0,2018-01-29,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,60.49502182006836,0.0,60.64790752612501,60.05547222570807,60.28480260733443,0.0,8638500.0,-0.7443692229862041,0.29970759810034947,16431927146300.0,-14887.384459724082,-179031.714114916,56091.07827429236,-0.7443692229862041
