,Date,Ticker,Position,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily Return,1-week MA Daily Return,Rolling Cumulative Volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L,Yield
0,2018-01-10,MMM,15000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,220.98875427246094,0.0,222.29926133416907,219.97151261722274,220.8604541530464,0.0,1640900.0,1.8767951764725512,0.35046142928983137,16445073184400.0,28151.92764708827,28151.92764708827,28151.92764708827,1.8767951764725512
0,2018-01-11,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.328887939453125,0.28,56.33844170240371,55.69823387730245,56.042227664854295,0.0,4240900.0,-0.7319586506045792,0.20162837646677825,16445878337800.0,-14639.173012091584,-14639.173012091584,13797.058990200663,-0.7319586506045792
1,2018-01-11,MMM,15000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,222.06101989746094,0.0,222.08851178633657,219.7149521556259,220.62222643952308,0.0,1487700.0,1.8957488001528164,0.35368318804591237,16447015386700.0,28436.232002292247,56588.15964938051,13797.058990200663,1.8957488001528164
0,2018-01-12,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.22377014160156,0.0,56.6059862155136,56.17599404363322,56.338433505742124,0.0,6320900.0,-0.7386278184088483,0.20546879195569184,16447807292300.0,-14772.556368176965,-29411.72938026855,13664.861844272355,-0.7386278184088483
1,2018-01-12,MMM,15000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,224.04051208496094,0.0,225.44265430401208,222.23513686472737,222.75751070271355,0.0,1974300.0,1.8958278808299547,0.35643165417290845,16449069792600.0,28437.41821244932,85025.57786182984,13664.861844272355,1.8958278808299547
0,2018-01-15,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,,,,,,,,,,,,,0,
1,2018-01-15,MMM,15000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,,,,,,,,,,,,,0,
0,2018-01-16,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,55.841556549072266,0.0,56.510432885599286,55.640894741638995,56.271548740059835,0.0,7175000.0,-0.7439517745575273,0.21645053040448675,16449924253300.0,-14879.035491150546,-44290.764871419095,13863.212344790452,-0.7439517745575273
1,2018-01-16,MMM,15000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,224.28794860839844,0.0,226.53320797460134,223.4539907346566,224.80114915111153,0.0,2411100.0,1.9161498557293999,0.3585690554123744,16451498650900.0,28742.247835940998,113767.82569777084,13863.212344790452,1.9161498557293999
0,2018-01-17,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.367103576660156,0.0,56.47220953694715,56.023109830025724,56.147326959023815,0.0,5037500.0,-0.7485071059266162,0.22096187325306582,16452549061600.0,-14970.142118532323,-59260.906989951414,53157.86128962686,-0.7485071059266162
1,2018-01-17,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,227.37632751464844,0.0,227.76122792568685,225.25936826210418,226.22162628153325,0.0,2519000.0,1.9465143830902627,0.3608546841433352,16454053462200.0,68128.00340815919,181895.82910593002,53157.86128962686,1.9465143830902625
0,2018-01-18,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.44355010986328,0.0,56.63465817052529,55.92755943960075,56.1664436041575,0.0,5658600.0,-0.7501281585622518,0.2239338294018991,16454962878800.0,-15002.563171245036,-74263.47016119646,52173.419266861245,-0.7501281585622518
1,2018-01-18,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,225.36016845703125,0.0,228.19194465510523,224.45289424536725,227.39465197385437,0.0,2233500.0,1.9193137839458936,0.35469304631440457,16456380454100.0,67175.98243810628,249071.81154403632,52173.419266861245,1.9193137839458936
0,2018-01-19,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.67287826538086,0.0,57.02642579428834,56.338438261207465,56.596433586112795,0.0,7362300.0,-0.7517504930917032,0.23286241940567196,16457281457600.0,-15035.009861834063,-89298.48002303051,52430.85433265972,-0.7517504930917032
